00029.jpg,"[[{""left"": 0.051666666666666666, ""top"": 0.2645631067961165, ""width"": 0.9133333333333333, ""height"": 0.4830097087378641, ""label"": ""1 сентября"", ""shape"": ""rectangle""}]]",600,412,0.6866666666666666,1 сентября,images/00029.jpg
00394.jpg,"[[{""left"": 0.026153846153846153, ""top"": 0.015105740181268883, ""width"": 0.6423076923076922, ""height"": 0.9803625377643505, ""label"": ""улица\nКалинина"", ""shape"": ""rectangle""}, {""left"": 0.6773076923076923, ""top"": 0.03927492447129909, ""width"": 0.2576923076923078, ""height"": 0.9561933534743202, ""label"": ""37"", ""shape"": ""rectangle""}]]",2600,662,0.2546153846153846,"улица Калинина 37",images/00394.jpg
00396.jpg,"[[{""left"": 0.1, ""top"": 0.25874125874125875, ""width"": 0.83625, ""height"": 0.5244755244755245, ""label"": ""ул. Калинина"", ""shape"": ""rectangle""}]]",800,429,0.53625,ул. Калинина,images/00396.jpg
00399.jpg,"[[{""left"": 0.002692307692307692, ""top"": -0.00744047619047619, ""width"": 0.9961538461538462, ""height"": 1.0074404761904763, ""label"": ""Белгород"", ""shape"": ""rectangle""}]]",2600,672,0.2584615384615384,Белгород,images/00399.jpg
00401.jpg,"[[{""left"": 0.02, ""top"": 0.2490118577075099, ""width"": 0.97, ""height"": 0.2727272727272727, ""label"": ""50-летия\nБЕЛГОРОДСКОЙ ОБЛАСТИ"", ""shape"": ""rectangle""}, {""left"": 0.275, ""top"": 0.525691699604743, ""width"": 0.475, ""height"": 0.32015810276679846, ""label"": ""2\nулица"", ""shape"": ""rectangle""}]]",400,253,0.6325,"50-летия БЕЛГОРОДСКОЙ ОБЛАСТИ 2 улица",images/00401.jpg
00402.jpg,"[[{""left"": 0.020454545454545454, ""top"": 0.061224489795918366, ""width"": 0.9715909090909091, ""height"": 0.8724489795918368, ""label"": ""1-й Заводской 38"", ""shape"": ""rectangle""}]]",880,196,0.2227272727272727,1-й Заводской 38,images/00402.jpg
00426.jpg,"[[{""left"": 0.14333333333333334, ""top"": 0.25, ""width"": 0.13499999999999998, ""height"": 0.08833333333333332, ""label"": ""KP.RU"", ""shape"": ""rectangle""}, {""left"": 0.0375, ""top"": 0.39, ""width"": 0.935, ""height"": 0.20833333333333337, ""label"": ""Жители Белгорода: \""Нам\nне нужна Соборная площадь!\"""", ""shape"": ""rectangle""}]]",1200,1200,1.0,"KP.RU Жители Белгорода: ""Нам не нужна Соборная площадь!""",images/00426.jpg
00434.jpg,"[[{""left"": 0.26953125, ""top"": 0.2353870458135861, ""width"": 0.390625, ""height"": 0.5955766192733016, ""label"": ""12\nольховая"", ""shape"": ""rectangle""}]]",1024,633,0.6181640625,12 ольховая,images/00434.jpg
00438.jpg,"[[{""left"": 0.052884615384615384, ""top"": 0.27884615384615385, ""width"": 0.9182692307692307, ""height"": 0.532051282051282, ""label"": ""ОТКРЫТО"", ""shape"": ""rectangle""}]]",416,312,0.75,ОТКРЫТО,images/00438.jpg
00549.jpg,"[[{""left"": 0.00872093023255814, ""top"": 0.01282051282051282, ""width"": 0.9825581395348837, ""height"": 0.9807692307692308, ""label"": ""19\nулица\n70 лет октября"", ""shape"": ""rectangle""}]]",344,312,0.9069767441860463,19 улица 70 лет октября,images/00549.jpg
00572.jpg,"[[{""left"": 0.10546875, ""top"": 0.13744075829383887, ""width"": 0.796875, ""height"": 0.6682464454976303, ""label"": ""улица\nсиреневая\n36"", ""shape"": ""rectangle""}]]",1024,633,0.6181640625,улица сиреневая 36,images/00572.jpg
00649.jpg,"[[{""left"": 0.2581888246628131, ""top"": 0.2568493150684932, ""width"": 0.3044315992292871, ""height"": 0.26027397260273966, ""label"": ""касса"", ""shape"": ""rectangle""}]]",519,292,0.5626204238921002,касса,images/00649.jpg
00652.jpg,"[[{""left"": 0.035842293906810034, ""top"": 0.027624309392265192, ""width"": 0.9498207885304659, ""height"": 0.9447513812154695, ""label"": ""улица\nсадовая\n65"", ""shape"": ""rectangle""}]]",279,181,0.6487455197132617,улица садовая 65,images/00652.jpg
00769.jpg,"[[{""left"": 0.002717391304347826, ""top"": 0.021897810218978103, ""width"": 0.9945652173913044, ""height"": 0.8978102189781022, ""label"": ""ул. 1-я садовая\n54"", ""shape"": ""rectangle""}]]",368,137,0.3722826086956521,ул. 1-я садовая 54,images/00769.jpg
00892.jpg,"[[{""left"": 0.08461538461538462, ""top"": 0.061855670103092786, ""width"": 0.8346153846153845, ""height"": 0.27319587628865977, ""label"": ""ОСТОРОЖНО!"", ""shape"": ""rectangle""}, {""left"": 0.08461538461538462, ""top"": 0.28350515463917525, ""width"": 0.47307692307692306, ""height"": 0.5824742268041238, ""label"": ""ВО ДВОРЕ\nЗЛАЯ\nСОБАКА"", ""shape"": ""rectangle""}]]",260,194,0.7461538461538462,"ОСТОРОЖНО! ВО ДВОРЕ ЗЛАЯ СОБАКА",images/00892.jpg
01163.jpg,"[[{""left"": 0.18222222222222223, ""top"": 0.14666666666666667, ""width"": 0.52, ""height"": 0.28444444444444444, ""label"": ""Банда"", ""shape"": ""rectangle""}]]",225,225,1.0,Банда,images/01163.jpg
01446.jpg,"[[{""left"": 0.10666666666666667, ""top"": 0.24888888888888888, ""width"": 0.8444444444444444, ""height"": 0.4888888888888889, ""label"": ""Улыбайся \\/n Чаще"", ""shape"": ""rectangle""}]]",225,225,1.0,"Улыбайся Чаще",images/01446.jpg
01622.jpg,"[[{""left"": 0.226890756302521, ""top"": 0.12322274881516587, ""width"": 0.48319327731092443, ""height"": 0.15639810426540285, ""label"": ""ОСТОРОЖНО!"", ""shape"": ""rectangle""}, {""left"": 0.23529411764705882, ""top"": 0.4265402843601896, ""width"": 0.4831932773109244, ""height"": 0.14218009478672983, ""label"": ""РАБОТАЕТ МОЗГ!"", ""shape"": ""rectangle""}]]",238,211,0.8865546218487395,"ОСТОРОЖНО! РАБОТАЕТ МОЗГ!",images/01622.jpg
